"t","s","i","r","place","betap","gammap","M1","M2","M3"
0.05,22199000,1000,0,1,2.02219219219219e-08,0.33333,0,75,89
0.05,2018000,0,0,2,3.30360092500826e-07,0.33333,71,0,60
0.05,62806000,0,0,3,1.0614697109618e-08,0.33333,60,58,0
0.1,22198977.5082635,1004.14076369937,16.7009728166965,1,2.02219219219219e-08,0.33333,0,52,13
0.1,2017999.99832404,0,0,2,3.30360092500826e-07,0.33333,100,0,91
0.1,62805999.9740226,1.56298885552827,0,3,1.0614697109618e-08,0.33333,63,80,0
0.15,22198954.8496903,1014.87446436718,33.5258453490313,1,2.02219219219219e-08,0.33333,0,12,80
0.15,2018000.04776499,0,0,2,3.30360092500826e-07,0.33333,20,0,56
0.15,62805999.9541676,0,0,3,1.0614697109618e-08,0.33333,68,62,0
0.2,22198932.0068682,1020.55558457062,50.4875472402922,1,2.02219219219219e-08,0.33333,0,58,14
0.2,2018000.04944096,0,0,2,3.30360092500826e-07,0.33333,57,0,57
0.2,62805999.9491398,0,0,3,1.0614697109618e-08,0.33333,70,28,0
0.25,22198909.0030161,1029.22814597176,67.5688379402052,1,2.02219219219219e-08,0.33333,0,31,60
0.25,2018000.07290446,0,0,2,3.30360092500826e-07,0.33333,34,0,40
0.25,62805999.9717653,0,0,3,1.0614697109618e-08,0.33333,84,7,0
0.3,22198885.8197091,1036.54689184129,84.7833990678733,1,2.02219219219219e-08,0.33333,0,60,54
0.3,2018000.10307183,0,0,2,3.30360092500826e-07,0.33333,61,0,61
0.3,62805999.9642234,0,0,3,1.0614697109618e-08,0.33333,70,86,0
0.35,22198862.4773026,1043.40658112014,102.11611632529,1,2.02219219219219e-08,0.33333,0,32,66
0.35,2018000.08296025,1.21005588908727,0,2,3.30360092500826e-07,0.33333,29,0,25
0.35,62805999.9985807,0,0,3,1.0614697109618e-08,0.33333,29,94,0
0.4,22198839.0125544,1047.44774987117,119.539695779558,1,2.02219219219219e-08,0.33333,0,38,63
0.4,2017999.98195232,4.86056035930283,0,2,3.30360092500826e-07,0.33333,90,0,54
0.4,62806000.0253961,0,0,3,1.0614697109618e-08,0.33333,85,15,0
0.45,22198815.392772,1057.22881467283,137.078413294676,1,2.02219219219219e-08,0.33333,0,14,105
0.45,2017999.89483233,0,0,2,3.30360092500826e-07,0.33333,87,0,59
0.45,62806000.0111504,0.857122920780696,0,3,1.0614697109618e-08,0.33333,49,52,0
0.5,22198791.5848885,1064.20828846053,154.756823053909,1,2.02219219219219e-08,0.33333,0,63,61
0.5,2017999.96187091,0,0,2,3.30360092500826e-07,0.33333,14,0,29
0.5,62805999.9295474,4.04792486338288,0,3,1.0614697109618e-08,0.33333,96,46,0
0.55,22198767.6373509,1069.6736978504,172.538951288072,1,2.02219219219219e-08,0.33333,0,47,71
0.55,2017999.90656408,3.32765369061362,0,2,3.30360092500826e-07,0.33333,75,0,90
0.55,62805999.8370609,1.49416855412208,0,3,1.0614697109618e-08,0.33333,56,107,0
0.6,22198743.5516331,1076.52466302415,190.423703831056,1,2.02219219219219e-08,0.33333,0,15,27
0.6,2017999.80393059,2.82897094568747,0,2,3.30360092500826e-07,0.33333,24,0,79
0.6,62805999.7885139,1.41844230686725,0,3,1.0614697109618e-08,0.33333,39,39,0
0.65,22198719.3072289,1083.8164630952,208.426308035216,1,2.02219219219219e-08,0.33333,0,22,60
0.65,2017999.74990248,0,0,2,3.30360092500826e-07,0.33333,63,0,30
0.65,62805999.7173728,2.85401322650773,0,3,1.0614697109618e-08,0.33333,52,25,0
0.7,22198694.8919665,1091.75223125283,226.555802204811,1,2.02219219219219e-08,0.33333,0,54,31
0.7,2017999.78844966,0,0,2,3.30360092500826e-07,0.33333,38,0,98
0.7,62805999.610548,3.55742613819309,0,3,1.0614697109618e-08,0.33333,50,88,0
0.75,22198670.3149637,1098.22961974909,244.805416517288,1,2.02219219219219e-08,0.33333,0,70,30
0.75,2017999.78342177,0,0,2,3.30360092500826e-07,0.33333,84,0,29
0.75,62805999.4985153,3.16344306116771,0,3,1.0614697109618e-08,0.33333,49,69,0
0.8,22198645.5753166,1106.24886087109,263.175822494959,1,2.02219219219219e-08,0.33333,0,73,79
0.8,2017999.76163423,1.31089387636509,0,2,3.30360092500826e-07,0.33333,13,0,45
0.8,62805999.4416245,0,0,3,1.0614697109618e-08,0.33333,74,85,0
0.85,22198620.7102812,1109.40036269378,281.639356133319,1,2.02219219219219e-08,0.33333,0,59,72
0.85,2017999.63377339,6.37482492880019,0,2,3.30360092500826e-07,0.33333,91,0,39
0.85,62805999.4709539,0,0,3,1.0614697109618e-08,0.33333,63,94,0
0.9,22198595.7248599,1116.98283701219,300.192303117924,1,2.02219219219219e-08,0.33333,0,12,31
0.9,2017999.40022501,7.64160025946646,0,2,3.30360092500826e-07,0.33333,122,0,78
0.9,62805999.5095011,0,0,3,1.0614697109618e-08,0.33333,81,62,0
0.95,22198570.4917645,1131.47905359369,318.929181868288,1,2.02219219219219e-08,0.33333,0,55,60
0.95,2017999.24895629,1.41723534907352,0,2,3.30360092500826e-07,0.33333,81,0,87
0.95,62805999.5379925,0,0,3,1.0614697109618e-08,0.33333,70,36,0
1,22198545.0021041,1139.84130080377,337.856595141317,1,2.02219219219219e-08,0.33333,0,8,84
1,2017999.26584386,0,0,2,3.30360092500826e-07,0.33333,92,0,13
1,62805999.5036352,2.06717880866803,0,3,1.0614697109618e-08,0.33333,55,82,0
1.05,22198519.3135587,1149.20472841506,356.931712860088,1,2.02219219219219e-08,0.33333,0,35,42
1.05,2017999.27841359,0,0,2,3.30360092500826e-07,0.33333,62,0,69
1.05,62805999.4676711,0,0,3,1.0614697109618e-08,0.33333,44,44,0
1.1,22198493.428892,1157.3186244745,376.152483515289,1,2.02219219219219e-08,0.33333,0,91,19
1.1,2017999.32198866,0,0,2,3.30360092500826e-07,0.33333,7,0,17
1.1,62805999.4483975,1.15963689264806,0,3,1.0614697109618e-08,0.33333,76,19,0
1.15,22198467.3930973,1162.67140517387,395.485497514307,1,2.02219219219219e-08,0.33333,0,88,78
1.15,2017999.24992221,4.33603357358059,0,2,3.30360092500826e-07,0.33333,78,0,80
1.15,62805999.45886,0,0,3,1.0614697109618e-08,0.33333,25,31,0
1.2,22198441.2570831,1166.24996406282,414.892952838165,1,2.02219219219219e-08,0.33333,0,47,79
1.2,2017999.13685792,2.44256625730472,0,2,3.30360092500826e-07,0.33333,56,0,60
1.2,62805999.3733858,5.14273752386013,0,3,1.0614697109618e-08,0.33333,90,21,0
1.25,22198414.9938851,1174.01124264129,434.394872295648,1,2.02219219219219e-08,0.33333,0,56,44
1.25,2017999.09497994,0,0,2,3.30360092500826e-07,0.33333,36,0,61
1.25,62805999.1770612,6.64090080848014,0,3,1.0614697109618e-08,0.33333,67,9,0
1.3,22198388.565572,1180.96500565139,454.019422354789,1,2.02219219219219e-08,0.33333,0,73,78
1.3,2017999.12179536,0,0,2,3.30360092500826e-07,0.33333,23,0,58
1.3,62805998.9295413,8.21466196797121,0,3,1.0614697109618e-08,0.33333,60,7,0
