time, S, I, R
0.05,9999.52,10.3131,0.169261
0.1,9999.02,10.636,0.343822
0.15,9998.51,10.969,0.523848
0.2,9997.98,11.3124,0.70951
0.25,9997.43,11.6665,0.900984
0.3,9996.87,12.0317,1.09845
0.35,9996.29,12.4082,1.3021
0.4,9995.69,12.7965,1.51212
0.45,9995.07,13.197,1.72871
0.5,9994.44,13.6099,1.95208
0.55,9993.78,14.0356,2.18244
0.6,9993.11,14.4747,2.42001
0.65,9992.41,14.9274,2.665
0.7,9991.69,15.3943,2.91766
0.75,9990.95,15.8757,3.17822
0.8,9990.18,16.3721,3.44693
0.85,9989.39,16.8839,3.72404
0.9,9988.58,17.4117,4.00981
0.95,9987.74,17.956,4.30452
1,9986.87,18.5171,4.60843
1.05,9985.98,19.0957,4.92184
1.1,9985.06,19.6923,5.24505
1.15,9984.11,20.3075,5.57835
1.2,9983.14,20.9418,5.92206
1.25,9982.13,21.5957,6.27651
1.3,9981.09,22.27,6.64203
1.35,9980.02,22.9653,7.01896
1.4,9978.91,23.6821,7.40765
1.45,9977.77,24.4212,7.80847
1.5,9976.6,25.1831,8.22181
1.55,9975.38,25.9688,8.64804
1.6,9974.13,26.7787,9.08756
1.65,9972.85,27.6138,9.54079
1.7,9971.52,28.4747,10.0082
1.75,9970.15,29.3623,10.4901
1.8,9968.74,30.2774,10.987
1.85,9967.28,31.2207,11.4995
1.9,9965.78,32.1932,12.0279
1.95,9964.23,33.1958,12.5727
2,9962.64,34.2294,13.1346
2.05,9960.99,35.2948,13.7139
2.1,9959.3,36.3931,14.3112
2.15,9957.55,37.5253,14.9272
2.2,9955.75,38.6924,15.5623
2.25,9953.89,39.8955,16.2171
2.3,9951.97,41.1355,16.8923
2.35,9950,42.4138,17.5885
2.4,9947.96,43.7313,18.3063
2.45,9945.86,45.0893,19.0464
2.5,9943.7,46.4891,19.8095
2.55,9941.47,47.9317,20.5963
2.6,9939.17,49.4186,21.4074
2.65,9936.81,50.9511,22.2438
2.7,9934.36,52.5305,23.1061
2.75,9931.85,54.1582,23.9951
2.8,9929.25,55.8357,24.9116
2.85,9926.58,57.5644,25.8565
2.9,9923.82,59.3459,26.8307
2.95,9920.98,61.1817,27.835
3,9918.06,63.0734,28.8704
3.05,9915.04,65.0227,29.9377
3.1,9911.93,67.0313,31.0381
3.15,9908.73,69.1008,32.1724
3.2,9905.43,71.2332,33.3418
3.25,9902.02,73.4302,34.5472
3.3,9898.52,75.6937,35.7898
3.35,9894.9,78.0257,37.0707
3.4,9891.18,80.4281,38.391
3.45,9887.35,82.903,39.752
3.5,9883.39,85.4524,41.1548
3.55,9879.32,88.0786,42.6008
3.6,9875.13,90.7837,44.0912
3.65,9870.8,93.57,45.6273
3.7,9866.35,96.4399,47.2106
3.75,9861.76,99.3956,48.8425
3.8,9857.04,102.44,50.5243
3.85,9852.17,105.574,52.2576
3.9,9847.15,108.803,54.0439
3.95,9841.99,112.127,55.8848
4,9836.67,115.55,57.782
4.05,9831.19,119.074,59.737
4.1,9825.55,122.703,61.7517
4.15,9819.73,126.438,63.8277
4.2,9813.75,130.284,65.9668
4.25,9807.59,134.243,68.171
4.3,9801.24,138.318,70.4422
4.35,9794.71,142.513,72.7823
4.4,9787.98,146.83,75.1933
4.45,9781.05,151.273,77.6772
4.5,9773.92,155.845,80.2363
4.55,9766.58,160.55,82.8728
4.6,9759.02,165.39,85.5887
4.65,9751.24,170.371,88.3865
4.7,9743.24,175.495,91.2685
4.75,9735,180.767,94.2371
4.8,9726.52,186.189,97.2948
4.85,9717.79,191.766,100.444
4.9,9708.81,197.502,103.688
4.95,9699.57,203.4,107.028
5,9690.07,209.466,110.469
5.05,9680.29,215.702,114.011
5.1,9670.23,222.114,117.66
5.15,9659.88,228.705,121.416
5.2,9649.24,235.48,125.284
5.25,9638.29,242.443,129.266
5.3,9627.03,249.599,133.367
5.35,9615.46,256.952,137.587
5.4,9603.56,264.507,141.933
5.45,9591.33,272.269,146.405
5.5,9578.75,280.242,151.009
5.55,9565.82,288.431,155.748
5.6,9552.53,296.84,160.625
5.65,9538.88,305.476,165.644
5.7,9524.85,314.341,170.809
5.75,9510.43,323.443,176.123
5.8,9495.62,332.785,181.591
5.85,9480.41,342.372,187.217
5.9,9464.79,352.209,193.005
5.95,9448.74,362.302,198.959
6,9432.26,372.656,205.083
6.05,9415.34,383.275,211.382
6.1,9397.98,394.164,217.86
6.15,9380.15,405.329,224.522
6.2,9361.85,416.774,231.372
6.25,9343.08,428.505,238.416
6.3,9323.82,440.526,245.657
6.35,9304.06,452.843,253.102
6.4,9283.79,465.459,260.754
6.45,9263,478.381,268.619
6.5,9241.69,491.612,276.701
6.55,9219.84,505.157,285.007
6.6,9197.44,519.021,293.541
6.65,9174.48,533.208,302.31
6.7,9150.96,547.722,311.317
6.75,9126.86,562.568,320.569
6.8,9102.18,577.749,330.071
6.85,9076.9,593.269,339.829
6.9,9051.02,609.132,349.848
6.95,9024.52,625.342,360.135
7,8997.4,641.901,370.694
7.05,8969.65,658.813,381.533
7.1,8941.26,676.081,392.657
7.15,8912.22,693.706,404.071
7.2,8882.53,711.691,415.782
7.25,8852.17,730.039,427.796
7.3,8821.13,748.751,440.118
7.35,8789.42,767.827,452.756
7.4,8757.02,787.27,465.714
7.45,8723.92,807.08,479
7.5,8690.13,827.256,492.619
