time, S, I, R, M0, M1
0.05,9999.52,10.2623,0.16884,6,5
0.1,9999.03,10.4821,0.341699,17,15
0.15,9998.52,10.7087,0.518278,24,22
0.2,9998.01,11.044,0.699534,18,18
0.25,9997.48,11.3389,0.886044,20,19
0.3,9996.93,11.643,1.07754,21,20
0.35,9996.37,12.0074,1.27461,18,18
0.4,9995.79,12.3324,1.47743,17,16
0.45,9995.2,12.6675,1.68575,26,25
0.5,9994.59,13.0639,1.90016,14,14
0.55,9993.96,13.371,2.12043,23,21
0.6,9993.32,13.7385,2.34633,23,22
0.65,9992.66,14.0667,2.57802,16,14
0.7,9991.98,14.4051,2.81527,17,15
0.75,9991.29,14.8048,3.05867,17,16
0.8,9990.57,15.2678,3.30925,18,18
0.85,9989.84,15.6943,3.56724,11,10
0.9,9989.08,16.185,3.83288,19,19
0.95,9988.3,16.6909,4.10682,20,20
1,9987.5,17.2126,4.38933,15,15
1.05,9986.67,17.6489,4.67982,20,18
1.1,9985.82,18.2004,4.97854,14,14
1.15,9984.95,18.6674,5.28574,13,11
1.2,9984.05,19.1998,5.60128,18,17
1.25,9983.13,19.7487,5.92582,29,28
1.3,9982.17,20.3654,6.26008,14,14
1.35,9981.19,21.0013,6.60477,20,20
1.4,9980.18,21.6062,6.9598,25,24
1.45,9979.15,22.2298,7.32507,22,21
1.5,9978.08,22.822,7.70048,16,14
1.55,9976.98,23.5342,8.08674,17,17
1.6,9975.85,24.2684,8.48506,18,18
1.65,9974.68,24.9746,8.89539,13,12
1.7,9973.48,25.7027,9.31766,15,14
1.75,9972.24,26.5041,9.75268,16,16
1.8,9970.97,27.3304,10.2013,20,20
1.85,9969.65,28.1822,10.6638,21,21
1.9,9968.3,29.0605,11.1408,28,28
1.95,9966.91,29.8135,11.6314,16,13
2,9965.47,30.7422,12.136,12,12
2.05,9964,31.4964,12.6546,17,13
2.1,9962.49,32.3247,13.1864,20,17
2.15,9960.94,33.2293,13.7326,14,12
2.2,9959.34,34.1618,14.2942,17,15
2.25,9957.7,35.2246,14.8723,15,15
2.3,9956.01,36.2694,15.4681,20,19
2.35,9954.27,37.2448,16.0807,17,14
2.4,9952.49,38.301,16.7102,19,17
2.45,9950.65,39.4913,17.3584,12,12
2.5,9948.76,40.6674,18.0263,15,14
