time, pops, popi, popr
0,190,10,0
1.62394,189,11,0
1.97459,188,12,0
2.55399,187,13,0
3.29922,186,14,0
3.38687,186,13,1
3.39813,186,12,2
3.4067,186,11,3
3.6315,185,12,3
3.71406,185,11,4
3.96735,184,12,4
4.0617,184,11,5
4.37996,183,12,5
4.39817,183,11,6
4.69493,182,12,6
5.00515,181,13,6
5.05288,181,12,7
5.05406,181,11,8
6.39167,180,12,8
6.84775,179,13,8
6.88362,179,12,9
7.17897,178,13,9
7.7774,177,14,9
7.8239,177,13,10
7.8361,177,12,11
7.9275,177,11,12
7.99503,177,10,13
8.03387,177,9,14
8.10332,177,8,15
8.33158,176,9,15
8.85867,175,10,15
8.99837,175,9,16
9.59216,174,10,16
9.8077,173,11,16
11.0103,172,12,16
11.1578,171,13,16
11.2251,171,12,17
11.2341,171,11,18
11.896,170,12,18
11.9974,170,11,19
12.2452,169,12,19
12.4177,168,13,19
13.0903,167,14,19
13.0938,167,13,20
13.8813,166,14,20
14.2656,165,15,20
14.3686,165,14,21
14.4831,165,13,22
14.5567,165,12,23
14.6261,165,11,24
14.6469,165,10,25
14.7941,165,9,26
14.9979,164,10,26
15.0608,164,9,27
15.3079,163,10,27
15.8995,162,11,27
16.127,161,12,27
16.6004,160,13,27
16.8649,159,14,27
17.0119,158,15,27
17.0971,158,14,28
17.3003,157,15,28
17.4493,156,16,28
17.5072,156,15,29
17.6835,155,16,29
17.8686,154,17,29
18.3256,153,18,29
18.3357,153,17,30
18.7075,152,18,30
18.9315,151,19,30
19.0611,150,20,30
19.4041,149,21,30
19.7814,148,22,30
19.8445,148,21,31
20.038,147,22,31
20.4673,146,23,31
20.4867,146,22,32
20.7443,145,23,32
20.7768,145,22,33
20.8599,145,21,34
21.2392,144,22,34
21.3589,143,23,34
21.7338,142,24,34
21.7582,142,23,35
21.8128,142,22,36
21.8653,142,21,37
21.9594,142,20,38
21.9685,142,19,39
21.998,142,18,40
22.2107,141,19,40
22.3109,141,18,41
22.3558,141,17,42
22.4583,141,16,43
22.653,140,17,43
22.6669,140,16,44
22.851,139,17,44
22.992,138,18,44
23.7158,137,19,44
23.8227,137,18,45
23.9016,137,17,46
24.1303,136,18,46
24.4614,135,19,46
24.5381,135,18,47
25.2609,134,19,47
25.3834,134,18,48
25.3906,134,17,49
25.4993,134,16,50
25.8907,133,17,50
26.1437,132,18,50
26.3155,131,19,50
26.4037,131,18,51
26.4881,131,17,52
26.6826,130,18,52
26.684,130,17,53
26.7132,130,16,54
26.8842,129,17,54
27.0224,129,16,55
27.601,128,17,55
27.6108,128,16,56
27.8833,127,17,56
28.9242,126,18,56
28.9493,126,17,57
28.9861,126,16,58
29.5915,125,17,58
29.7834,124,18,58
29.9093,124,17,59
30.0399,124,16,60
30.1339,124,15,61
30.7343,123,16,61
30.8933,123,15,62
31.1688,122,16,62
31.2524,122,15,63
31.2908,122,14,64
31.6771,121,15,64
32.0034,120,16,64
32.0844,120,15,65
32.1942,120,14,66
32.4941,119,15,66
32.6352,119,14,67
32.9508,118,15,67
33.3002,117,16,67
33.315,117,15,68
33.3801,117,14,69
33.3844,117,13,70
33.4128,117,12,71
33.4593,117,11,72
33.7037,117,10,73
34.0575,116,11,73
34.1385,116,10,74
34.2772,116,9,75
34.4117,116,8,76
36.7362,115,9,76
36.8877,115,8,77
36.97,115,7,78
37.4535,114,8,78
40.6772,113,9,78
41.131,112,10,78
42.079,111,11,78
42.1708,111,10,79
42.4356,111,9,80
43.2624,110,10,80
43.2873,110,9,81
43.5293,110,8,82
45.0252,109,9,82
45.3325,109,8,83
45.3416,109,7,84
45.9476,108,8,84
46.1646,108,7,85
47.3616,107,8,85
47.884,106,9,85
48.9844,105,10,85
49.7869,104,11,85
50.9593,103,12,85
51.5417,102,13,85
52.3216,101,14,85
52.3614,101,13,86
53.2871,100,14,86
54.069,99,15,86
54.252,99,14,87
54.2996,99,13,88
55.2957,98,14,88
55.7734,97,15,88
56.12,96,16,88
56.6254,95,17,88
56.9517,94,18,88
57.1131,94,17,89
57.1696,94,16,90
57.1896,94,15,91
57.2616,94,14,92
57.3846,94,13,93
58.0895,93,14,93
58.3777,92,15,93
58.7522,91,16,93
58.9379,91,15,94
59.5909,90,16,94
59.9334,89,17,94
60.1778,88,18,94
60.2318,88,17,95
61.1818,87,18,95
61.5203,86,19,95
61.7618,85,20,95
62.2407,84,21,95
62.2518,84,20,96
62.3606,84,19,97
63.2232,83,20,97
63.3022,83,19,98
63.4139,83,18,99
63.4809,83,17,100
64.0164,82,18,100
64.2196,82,17,101
64.3358,82,16,102
64.7082,81,17,102
64.8775,81,16,103
65.6125,80,17,103
65.7911,80,16,104
65.8013,80,15,105
65.9695,80,14,106
66.5776,79,15,106
67.2289,78,16,106
67.7184,77,17,106
68.0229,76,18,106
68.1042,76,17,107
68.9655,75,18,107
69.1842,75,17,108
70.3207,74,18,108
70.3354,74,17,109
70.5413,74,16,110
70.9689,73,17,110
71.9144,72,18,110
72.1638,72,17,111
72.2017,72,16,112
72.2837,72,15,113
72.9377,71,16,113
73.2144,71,15,114
73.2525,71,14,115
73.2823,71,13,116
74.4019,70,14,116
74.789,69,15,116
75.0177,69,14,117
75.4507,68,15,117
75.5166,68,14,118
75.997,67,15,118
76.0846,67,14,119
78.7406,66,15,119
79.0142,66,14,120
80.4326,65,15,120
80.4529,65,14,121
80.9421,64,15,121
81.0701,64,14,122
81.2174,64,13,123
81.7868,63,14,123
81.8632,63,13,124
81.9273,63,12,125
82.084,63,11,126
82.6679,62,12,126
83.232,61,13,126
